apple_price,date
"3,600",2018-01-02
"3,800",2018-01-03
"3,900",2018-01-04
"3,900",2018-01-05
"3,900",2018-01-08
"3,900",2018-01-09
"3,900",2018-01-10
"4,000",2018-01-11
"4,000",2018-01-12
"4,000",2018-01-15
"4,000",2018-01-16
"4,000",2018-01-17
"4,000",2018-01-18
"4,000",2018-01-19
"4,000",2018-01-22
"4,000",2018-01-23
"4,000",2018-01-24
"4,000",2018-01-25
"4,000",2018-01-26
"4,200",2018-01-29
"4,200",2018-01-30
"4,200",2018-01-31
"4,200",2018-02-01
"4,200",2018-02-02
"4,400",2018-02-05
"4,400",2018-02-06
"4,400",2018-02-07
"4,400",2018-02-08
"4,200",2018-02-09
"4,200",2018-02-12
"4,200",2018-02-13
"4,200",2018-02-14
"4,200",2018-02-19
"4,200",2018-02-20
"4,200",2018-02-21
"4,200",2018-02-22
"4,200",2018-02-23
"4,200",2018-02-26
"4,200",2018-02-27
"4,200",2018-02-28
"4,200",2018-03-02
"4,200",2018-03-05
"4,200",2018-03-06
"4,200",2018-03-07
"4,200",2018-03-08
"4,200",2018-03-09
"4,200",2018-03-12
"4,200",2018-03-13
"4,200",2018-03-14
"4,200",2018-03-15
"4,200",2018-03-16
"4,200",2018-03-19
"4,200",2018-03-20
"4,200",2018-03-21
"4,200",2018-03-22
"4,200",2018-03-23
"4,200",2018-03-26
"4,200",2018-03-27
"4,200",2018-03-28
"4,200",2018-03-29
"4,200",2018-03-30
"4,200",2018-04-02
"4,200",2018-04-03
"4,200",2018-04-04
"4,200",2018-04-05
"4,200",2018-04-06
"4,200",2018-04-09
"4,200",2018-04-10
"4,200",2018-04-11
"4,200",2018-04-12
"4,200",2018-04-13
"4,200",2018-04-16
"4,200",2018-04-17
"4,200",2018-04-18
"4,200",2018-04-19
"4,200",2018-04-20
"4,200",2018-04-23
"4,200",2018-04-24
"4,200",2018-04-25
"4,200",2018-04-26
"4,200",2018-04-27
"4,200",2018-04-30
"4,200",2018-05-02
"4,200",2018-05-03
"4,200",2018-05-04
"4,200",2018-05-08
"4,200",2018-05-09
"4,200",2018-05-10
"4,200",2018-05-11
"4,200",2018-05-14
"4,200",2018-05-15
"4,200",2018-05-16
"4,200",2018-05-17
"4,200",2018-05-18
"4,200",2018-05-21
"4,200",2018-05-23
"4,200",2018-05-24
"4,200",2018-05-25
"4,200",2018-05-28
"4,200",2018-05-29
"4,200",2018-05-30
"4,200",2018-05-31
"4,200",2018-06-01
"4,200",2018-06-04
"4,200",2018-06-05
"4,200",2018-06-07
"4,200",2018-06-08
"4,200",2018-06-11
"4,200",2018-06-12
"4,200",2018-06-14
"4,200",2018-06-15
"4,200",2018-06-18
"4,200",2018-06-19
"4,200",2018-06-20
"4,200",2018-06-21
"4,200",2018-06-22
"4,200",2018-06-25
"4,200",2018-06-26
"4,200",2018-06-27
"4,200",2018-06-28
"4,200",2018-06-29
"4,200",2018-07-02
"4,200",2018-07-03
"4,200",2018-07-04
"4,200",2018-07-05
"4,200",2018-07-06
"4,200",2018-07-09
"4,200",2018-07-10
"4,200",2018-07-11
"4,200",2018-07-12
"4,200",2018-07-13
"4,200",2018-07-16
"4,200",2018-07-17
"4,200",2018-07-18
"4,200",2018-07-19
"4,200",2018-07-20
"4,200",2018-07-23
"4,200",2018-07-24
"4,200",2018-07-25
"4,200",2018-07-26
"4,200",2018-07-27
"4,200",2018-07-30
"4,200",2018-07-31
"4,200",2018-08-01
"4,200",2018-08-02
"4,200",2018-08-03
"4,200",2018-08-06
"4,200",2018-08-07
"4,200",2018-08-08
"4,200",2018-08-09
"4,200",2018-08-10
"4,200",2018-08-13
"4,200",2018-08-14
"4,200",2018-08-16
"4,200",2018-08-17
"4,200",2018-08-20
"4,200",2018-08-21
"4,700",2018-08-22
"4,700",2018-08-23
"4,700",2018-08-24
"4,700",2018-08-27
"4,700",2018-08-28
"4,700",2018-08-29
"4,500",2018-08-30
"4,300",2018-08-31
"4,500",2018-09-03
"4,300",2018-09-04
"4,500",2018-09-05
"4,500",2018-09-06
"4,500",2018-09-07
"4,500",2018-10-22
"4,000",2018-10-23
"4,000",2018-10-24
"3,800",2018-10-25
"3,500",2018-10-26
"4,000",2018-10-29
"3,500",2018-10-30
"3,500",2018-10-31
"3,500",2018-11-01
"3,800",2018-11-02
"4,000",2018-11-05
"4,000",2018-11-06
"3,800",2018-11-07
"4,000",2018-11-08
"4,000",2018-11-09
"4,500",2018-11-12
"4,500",2018-11-13
"4,500",2018-11-14
"4,500",2018-11-15
"4,000",2018-11-16
"4,000",2018-11-19
"4,000",2018-11-20
"4,500",2018-11-21
"4,000",2018-11-22
"4,000",2018-11-23
"4,300",2018-11-26
"4,000",2018-11-27
"3,500",2018-11-28
"3,000",2018-11-29
"3,500",2018-11-30
"4,000",2018-12-03
"4,500",2018-12-04
"4,700",2018-12-05
"4,200",2018-12-06
"4,500",2018-12-10
"4,500",2018-12-11
"4,500",2018-12-12
"4,500",2018-12-13
"4,500",2018-12-14
"4,800",2018-12-17
"4,000",2018-12-18
"4,000",2018-12-19
"4,000",2018-12-20
"4,000",2018-12-21
"4,000",2018-12-24
"3,800",2018-12-26
"4,500",2018-12-27
"5,000",2018-12-28
"5,000",2018-12-31
