itemname,kindname,countyname,marketname,yyyy,regday,price
[],[],평균,[],2016,01/04,"3,200"
[],[],평균,[],2016,01/05,"3,200"
[],[],평균,[],2016,01/06,"3,200"
[],[],평균,[],2016,01/07,"3,200"
[],[],평균,[],2016,01/08,"3,200"
[],[],평균,[],2016,01/11,"3,200"
[],[],평균,[],2016,01/12,"3,200"
[],[],평균,[],2016,01/13,"3,200"
[],[],평균,[],2016,01/14,"3,200"
[],[],평균,[],2016,01/15,"3,200"
[],[],평균,[],2016,01/18,"3,200"
[],[],평균,[],2016,01/19,"3,200"
[],[],평균,[],2016,01/20,"3,200"
[],[],평균,[],2016,01/21,"3,200"
[],[],평균,[],2016,01/22,"3,200"
[],[],평균,[],2016,01/25,"3,200"
[],[],평균,[],2016,01/26,"3,200"
[],[],평균,[],2016,01/27,"3,400"
[],[],평균,[],2016,01/28,"3,400"
[],[],평균,[],2016,01/29,"3,667"
[],[],평균,[],2016,02/01,"3,667"
[],[],평균,[],2016,02/02,"3,467"
[],[],평균,[],2016,02/03,"3,467"
[],[],평균,[],2016,02/04,"3,533"
[],[],평균,[],2016,02/05,"3,533"
[],[],평균,[],2016,02/11,"3,533"
[],[],평균,[],2016,02/12,"3,333"
[],[],평균,[],2016,02/15,"3,333"
[],[],평균,[],2016,02/16,"3,200"
[],[],평균,[],2016,02/17,"3,200"
[],[],평균,[],2016,02/18,"3,200"
[],[],평균,[],2016,02/19,"3,200"
[],[],평균,[],2016,02/22,"3,200"
[],[],평균,[],2016,02/23,"3,200"
[],[],평균,[],2016,02/24,"3,200"
[],[],평균,[],2016,02/25,"3,200"
[],[],평균,[],2016,02/26,"3,200"
[],[],평균,[],2016,02/29,"3,200"
[],[],평균,[],2016,03/02,"3,200"
[],[],평균,[],2016,03/03,"3,200"
[],[],평균,[],2016,03/04,"3,200"
[],[],평균,[],2016,03/07,"3,200"
[],[],평균,[],2016,03/08,"3,200"
[],[],평균,[],2016,03/09,"3,200"
[],[],평균,[],2016,03/10,"3,200"
[],[],평균,[],2016,03/11,"3,000"
[],[],평균,[],2016,03/14,"3,000"
[],[],평균,[],2016,03/15,"3,000"
[],[],평균,[],2016,03/16,"3,000"
[],[],평균,[],2016,03/17,"3,000"
[],[],평균,[],2016,03/18,"3,000"
[],[],평균,[],2016,03/21,"3,000"
[],[],평균,[],2016,03/22,"3,000"
[],[],평균,[],2016,03/23,"3,000"
[],[],평균,[],2016,03/24,"3,000"
[],[],평균,[],2016,03/25,"3,000"
[],[],평균,[],2016,03/28,"3,000"
[],[],평균,[],2016,03/29,"3,000"
[],[],평균,[],2016,03/30,"3,000"
[],[],평균,[],2016,03/31,"3,000"
[],[],평균,[],2016,04/01,"3,000"
[],[],평균,[],2016,04/04,"3,000"
[],[],평균,[],2016,04/05,"3,000"
[],[],평균,[],2016,04/06,"3,000"
[],[],평균,[],2016,04/07,"3,000"
[],[],평균,[],2016,04/08,"3,000"
[],[],평균,[],2016,04/11,"3,000"
[],[],평균,[],2016,04/12,"3,000"
[],[],평균,[],2016,04/14,"3,000"
[],[],평균,[],2016,04/15,"3,000"
[],[],평균,[],2016,04/18,"3,000"
[],[],평균,[],2016,04/19,"3,000"
[],[],평균,[],2016,04/20,"3,000"
[],[],평균,[],2016,04/21,"3,000"
[],[],평균,[],2016,04/22,"3,000"
[],[],평균,[],2016,04/25,"3,000"
[],[],평균,[],2016,04/26,"3,000"
[],[],평균,[],2016,04/27,"3,000"
[],[],평균,[],2016,04/28,"3,000"
[],[],평균,[],2016,04/29,"3,000"
[],[],평균,[],2016,05/02,"3,000"
[],[],평균,[],2016,05/03,"3,000"
[],[],평균,[],2016,05/04,"3,000"
[],[],평균,[],2016,05/09,"3,000"
[],[],평균,[],2016,05/10,"3,000"
[],[],평균,[],2016,05/11,"3,000"
[],[],평균,[],2016,05/12,"3,133"
[],[],평균,[],2016,05/13,"3,133"
[],[],평균,[],2016,05/16,"3,133"
[],[],평균,[],2016,05/17,"3,133"
[],[],평균,[],2016,05/18,"3,133"
[],[],평균,[],2016,05/19,"3,133"
[],[],평균,[],2016,05/20,"3,133"
[],[],평균,[],2016,05/23,"3,133"
[],[],평균,[],2016,05/24,"3,133"
[],[],평균,[],2016,05/25,"3,133"
[],[],평균,[],2016,05/26,"3,133"
[],[],평균,[],2016,05/27,"3,133"
[],[],평균,[],2016,05/30,"3,133"
[],[],평균,[],2016,05/31,"3,133"
[],[],평균,[],2016,06/01,"3,200"
[],[],평균,[],2016,06/02,"3,200"
[],[],평균,[],2016,06/03,"3,200"
[],[],평균,[],2016,06/07,"3,200"
[],[],평균,[],2016,06/08,"3,200"
[],[],평균,[],2016,06/09,"3,200"
[],[],평균,[],2016,06/10,"3,200"
[],[],평균,[],2016,06/13,"3,200"
[],[],평균,[],2016,06/14,"3,200"
[],[],평균,[],2016,06/15,"3,333"
[],[],평균,[],2016,06/16,"3,333"
[],[],평균,[],2016,06/17,"3,333"
[],[],평균,[],2016,06/20,"3,333"
[],[],평균,[],2016,06/21,"3,333"
[],[],평균,[],2016,06/22,"3,333"
[],[],평균,[],2016,06/23,"3,333"
[],[],평균,[],2016,06/24,"3,333"
[],[],평균,[],2016,06/27,"3,333"
[],[],평균,[],2016,06/28,"3,333"
[],[],평균,[],2016,06/29,"3,333"
[],[],평균,[],2016,06/30,"3,333"
[],[],평균,[],2016,07/01,"3,333"
[],[],평균,[],2016,07/04,"3,333"
[],[],평균,[],2016,07/05,"3,333"
[],[],평균,[],2016,07/06,"3,333"
[],[],평균,[],2016,07/07,"3,333"
[],[],평균,[],2016,07/08,"3,533"
[],[],평균,[],2016,07/11,"3,667"
[],[],평균,[],2016,07/12,"3,667"
[],[],평균,[],2016,07/13,"3,667"
[],[],평균,[],2016,07/14,"3,667"
[],[],평균,[],2016,07/15,"3,667"
[],[],평균,[],2016,07/18,"3,667"
[],[],평균,[],2016,07/19,"3,800"
[],[],평균,[],2016,07/20,"3,800"
[],[],평균,[],2016,07/21,"3,933"
[],[],평균,[],2016,07/22,"3,933"
